Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28730    0.082    0.000    0.082    0.000 {method 'split' of 'str' objects}
    22951    0.052    0.000    0.053    0.000 plot_gtex.py:72(binary_search)
    50/48    0.028    0.001    0.030    0.001 {built-in method _imp.create_dynamic}
        1    0.026    0.026    0.154    0.154 plot_gtex.py:152(get_sample_info_hash)
    23013    0.022    0.000    0.032    0.000 hash_functions.py:4(h_ascii)
      272    0.022    0.000    0.022    0.000 {built-in method marshal.loads}
     2472    0.018    0.000    0.030    0.000 inspect.py:613(cleandoc)
    22982    0.017    0.000    0.049    0.000 hash_tables.py:55(search)
        1    0.016    0.016    0.099    0.099 plot_gtex.py:259(get_group_counts_hash)
        1    0.011    0.011    0.265    0.265 plot_gtex.py:325(main)
 1076/982    0.011    0.000    0.046    0.000 {built-in method builtins.__build_class__}
  461/182    0.010    0.000    0.019    0.000 sre_parse.py:475(_parse)
      334    0.009    0.000    0.009    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      317    0.009    0.000    0.009    0.000 {built-in method builtins.compile}
   158551    0.009    0.000    0.009    0.000 {built-in method builtins.ord}
   101929    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
87681/86708    0.006    0.000    0.006    0.000 {built-in method builtins.len}
    54749    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
    21043    0.004    0.000    0.004    0.000 {built-in method builtins.min}
    29734    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      638    0.003    0.000    0.009    0.000 inspect.py:2117(_signature_from_function)
      598    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
  924/175    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
    28554    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
     1372    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    11993    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      588    0.002    0.000    0.012    0.000 inspect.py:1089(getfullargspec)
    20056    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {built-in method mkl._py_mkl_service.get_version}
       27    0.002    0.000    0.011    0.000 __init__.py:908(_rc_params_in_file)
      691    0.002    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
      376    0.002    0.000    0.002    0.000 {built-in method zlib.crc32}
     1953    0.002    0.000    0.003    0.000 inspect.py:2467(__init__)
       12    0.002    0.000    0.022    0.002 artist.py:1277(_get_setters_and_targets)
     5417    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
     2494    0.002    0.000    0.034    0.000 re.py:271(_compile)
       23    0.002    0.000    0.003    0.000 {method 'sort' of 'list' objects}
7045/7041    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      681    0.002    0.000    0.003    0.000 inspect.py:2750(__init__)
      272    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
    623/1    0.002    0.000    0.544    0.544 {built-in method builtins.exec}
    10730    0.002    0.000    0.003    0.000 mathtext.py:2839(<genexpr>)
     6182    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
     1839    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
     3102    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     5499    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      272    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      641    0.001    0.000    0.011    0.000 inspect.py:2198(_signature_from_callable)
      626    0.001    0.000    0.003    0.000 functools.py:37(update_wrapper)
      344    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      906    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      272    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:793(get_code)
 1112/367    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     1296    0.001    0.000    0.005    0.000 {built-in method builtins.any}
     2246    0.001    0.000    0.028    0.000 inspect.py:594(getdoc)
     3102    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1794    0.001    0.000    0.013    0.000 __init__.py:774(__setitem__)
      373    0.001    0.000    0.003    0.000 colors.py:185(_to_rgba_no_colorcycle)
      544    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
    17384    0.001    0.000    0.001    0.000 plot_gtex.py:298(<lambda>)
     2485    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
     2325    0.001    0.000    0.003    0.000 enum.py:284(__call__)
      686    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1839    0.001    0.000    0.003    0.000 codecs.py:319(decode)
       26    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     4492    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
    355/3    0.001    0.000    0.278    0.093 <frozen importlib._bootstrap>:978(_find_and_load)
     2049    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5653e0281260}
      232    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      408    0.001    0.000    0.019    0.000 artist.py:1241(get_valid_values)
    50/44    0.001    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
      614    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
      334    0.001    0.000    0.014    0.000 gzip.py:438(read)
      327    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      321    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     1045    0.001    0.000    0.005    0.000 colors.py:149(to_rgba)
       32    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
 1359/285    0.001    0.000    0.192    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       60    0.001    0.000    0.002    0.000 function_base.py:37(linspace)
      339    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       64    0.001    0.000    0.006    0.000 colors.py:729(from_list)
    349/3    0.001    0.000    0.278    0.093 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    328/3    0.001    0.000    0.278    0.093 <frozen importlib._bootstrap>:663(_load_unlocked)
     1506    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     5987    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
  411/175    0.001    0.000    0.020    0.000 sre_parse.py:417(_parse_sub)
       11    0.001    0.000    0.002    0.000 enum.py:135(__new__)
     1614    0.001    0.000    0.018    0.000 artist.py:1319(is_alias)
      287    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
       12    0.001    0.000    0.014    0.001 artist.py:1213(get_aliases)
      317    0.001    0.000    0.019    0.000 overrides.py:154(decorator)
     3366    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      410    0.001    0.000    0.002    0.000 copy.py:66(copy)
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
      175    0.001    0.000    0.031    0.000 sre_compile.py:759(compile)
      334    0.001    0.000    0.015    0.000 _compression.py:66(readinto)
     1780    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      522    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     3838    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       72    0.001    0.000    0.007    0.000 __init__.py:1525(_preprocess_data)
     2548    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
     3714    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      321    0.001    0.000    0.004    0.000 textwrap.py:414(dedent)
     1520    0.001    0.000    0.002    0.000 re.py:170(match)
   260/11    0.001    0.000    0.002    0.000 pyparsing.py:1633(_parseNoCache)
     5045    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1282    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1536    0.001    0.000    0.002    0.000 colors.py:115(_is_nth_color)
       12    0.001    0.000    0.001    0.000 artist.py:1224(<listcomp>)
      322    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     2317    0.000    0.000    0.001    0.000 enum.py:526(__new__)
     1260    0.000    0.000    0.000    0.000 colors.py:249(<genexpr>)
      175    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
      338    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
     1949    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
  495/315    0.000    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    272/3    0.000    0.000    0.278    0.093 <frozen importlib._bootstrap_external>:722(exec_module)
      584    0.000    0.000    0.001    0.000 gzip.py:80(read)
      327    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      272    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       10    0.000    0.000    0.002    0.000 pyparsing.py:3118(__init__)
      618    0.000    0.000    0.002    0.000 _inspect.py:98(getargspec)
     2552    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      492    0.000    0.000    0.004    0.000 rcsetup.py:374(validate_color)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      233    0.000    0.000    0.000    0.000 pyparsing.py:1386(__init__)
     2751    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      334    0.000    0.000    0.015    0.000 {method 'read1' of '_io.BufferedReader' objects}
     2097    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
     4272    0.000    0.000    0.000    0.000 inspect.py:2517(name)
